,network,id,createdAt,molochAddress,memberAddress,shares,loot
60,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0xa153b8891e77f1ae037026514c927530d877fab8-rage-8758265,1571311434,0x0372f3696fa7dc99801f435fd6737e57818239f2,0xa153b8891e77f1ae037026514c927530d877fab8,9,0
61,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0xb53b0255895c4f9e3a185e484e5b674bccfbc076-rage-10108685,1590056605,0x0372f3696fa7dc99801f435fd6737e57818239f2,0xb53b0255895c4f9e3a185e484e5b674bccfbc076,25,0
62,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0xb53b0255895c4f9e3a185e484e5b674bccfbc076-rage-10451142,1594642393,0x0372f3696fa7dc99801f435fd6737e57818239f2,0xb53b0255895c4f9e3a185e484e5b674bccfbc076,11,0
63,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0xb64943f4f26d837ceeac96cae86d1bab23a3414d-rage-10614665,1596829326,0x0372f3696fa7dc99801f435fd6737e57818239f2,0xb64943f4f26d837ceeac96cae86d1bab23a3414d,10,0
64,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0xb98ec0012fba5de02ab506782862a63a7945ee9c-rage-9046123,1575413096,0x0372f3696fa7dc99801f435fd6737e57818239f2,0xb98ec0012fba5de02ab506782862a63a7945ee9c,35,0
65,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0xb98ec0012fba5de02ab506782862a63a7945ee9c-rage-9801680,1585951708,0x0372f3696fa7dc99801f435fd6737e57818239f2,0xb98ec0012fba5de02ab506782862a63a7945ee9c,15,0
66,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0xba14ce92a3a46a56f52105941eb9af2d20ece605-rage-10132235,1590372882,0x0372f3696fa7dc99801f435fd6737e57818239f2,0xba14ce92a3a46a56f52105941eb9af2d20ece605,5,0
67,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0xba14ce92a3a46a56f52105941eb9af2d20ece605-rage-10222310,1591581852,0x0372f3696fa7dc99801f435fd6737e57818239f2,0xba14ce92a3a46a56f52105941eb9af2d20ece605,4,0
68,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0xba14ce92a3a46a56f52105941eb9af2d20ece605-rage-9872111,1586887785,0x0372f3696fa7dc99801f435fd6737e57818239f2,0xba14ce92a3a46a56f52105941eb9af2d20ece605,25,0
69,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0xba14ce92a3a46a56f52105941eb9af2d20ece605-rage-9930940,1587674873,0x0372f3696fa7dc99801f435fd6737e57818239f2,0xba14ce92a3a46a56f52105941eb9af2d20ece605,4,0
70,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0xba14ce92a3a46a56f52105941eb9af2d20ece605-rage-9991254,1588483047,0x0372f3696fa7dc99801f435fd6737e57818239f2,0xba14ce92a3a46a56f52105941eb9af2d20ece605,26,0
