,network,id,address,totalSupply,transferable,name,symbol,orgAddress,appAddress,lastUpdateAt
1593,mainnet,tokenAddress-0xaedb10d252e5c6e00d5f58c1009ba92f796f79ea,0xaedb10d252e5c6e00d5f58c1009ba92f796f79ea,100000000000000000000000,True,CPDAO,CD,0xcbd59ffc3c1c74c6ada3ded0545557a3a353916a,0xd2e4179e2553017c4b88012dbf229c881c7f1ccb,1659490922
1594,mainnet,tokenAddress-0xaee25f0a63ac2c7ece2a50cae13d2b0a3c334fcd,0xaee25f0a63ac2c7ece2a50cae13d2b0a3c334fcd,2000000000000000000000,True,testkorea123,TK1,0x56c47c948d9f8ff75add778fd200cd55d2725f9c,0x188cc649323edc013255b0b6d4fc763795fb23a0,1584426154
1595,mainnet,tokenAddress-0xaef048b75440dab69b9b6e9545d14a2150016c1c,0xaef048b75440dab69b9b6e9545d14a2150016c1c,1099000000000000000000,True,Collab19,C19,0x5e7b681735205bb5414fb8cc368695b8571611ad,0x9231549259236b5a8c74a7b537308acdc0d1fa3f,1589297243
1596,mainnet,tokenAddress-0xaefdad7d2c74c49af468458642b4648ce9a9322b,0xaefdad7d2c74c49af468458642b4648ce9a9322b,1000000000000000000,True,Mologon,GON,0xe565422ae7760713c6083d50987f38103ccd617d,0xe23c8b04f7e884deec7be3382e500f0173e29ece,1582072777
1597,mainnet,tokenAddress-0xaeff71e33fa538ada62aa36a07f815333f70d557,0xaeff71e33fa538ada62aa36a07f815333f70d557,1000000000000000000000000,True,The Studio token,STUDIO,0xc0c38670a99d657d3879619ee4e610b57135d2e1,0x5443525a6da1f63f8dc6944424d9b13885e4f2b1,1573890747
1598,mainnet,tokenAddress-0xaf061493adecab6825c6095a91e5b039edc4b738,0xaf061493adecab6825c6095a91e5b039edc4b738,100000000000000000000,True,ravedao,RAVE,0x7f6fc2c43a9f9c51ced7ba188ed2a549963aaa36,0xbb909ff2f5453528987bb9ed153ba4088b14066a,1541341086
1599,mainnet,tokenAddress-0xaf06861f38449fd12a2d2373c421d4c4d8343767,0xaf06861f38449fd12a2d2373c421d4c4d8343767,1000000000000000000,True,LIVEPEER SWARM INTEGRATION,LSI,0xe026aceec426d48e68e1887cbc4ed0a8bc88c55b,0x67c1166e7289d00aa5364f3c6d29e0964e45daf5,1566520594
1600,mainnet,tokenAddress-0xaf2de1fd992258fea7e0c875b49896649cfe690a,0xaf2de1fd992258fea7e0c875b49896649cfe690a,100000000000000000000000000000,True,AIMovieDAO,AIMD,0x8f5e982d815123e28a0707d2fa98cb996fe647d3,0xa922b2a88310dde10def63c982a3d1a9f44459a7,1672903379
1601,mainnet,tokenAddress-0xaf3368e382375ebe00677c6cf29f48e3d35efb4b,0xaf3368e382375ebe00677c6cf29f48e3d35efb4b,1,False,Ares,ARES,0x662724e6e1aacb8096f06495486fe8aa000b79fe,0x9240a96198ef134401f406a5953e108a11e1a038,1550076504
1602,mainnet,tokenAddress-0xaf54bb990be8b7dd8b128fe2ff5002cd83536f9d,0xaf54bb990be8b7dd8b128fe2ff5002cd83536f9d,1000000000000000000000000,True,Bitcode Rewards,BIT,0xb79897d5557e388f1cbfa4bcbd7e38b7489aab9e,0xd3311ec36c2027c25e888d240680da1f9be00cef,1574775176
1603,mainnet,tokenAddress-0xafc13f758c02b38caa0e69a9734b0e3b5957dbe8,0xafc13f758c02b38caa0e69a9734b0e3b5957dbe8,1000000000000000000,True,Citizen Game,CGAME,0x0b34f1cf4e566d1387a2d3f05a370bc0c21a9b1b,0xac5805301c452e5f36830fd78579efbe5d02de1e,1555325284
1604,mainnet,tokenAddress-0xafd730250395cafb0ef3b6295f2b7646d2195c14,0xafd730250395cafb0ef3b6295f2b7646d2195c14,5,False,AV1,AV1,0xdd80922b1c2b6c6d3b7c498515650259387f73af,0xc19203c096767123f4c8c56469fbe1c3141bf81c,1575455378
1605,mainnet,tokenAddress-0xafd7b0d262aaf47a0494b87358a0343ab1c658bb,0xafd7b0d262aaf47a0494b87358a0343ab1c658bb,1050000000000000000000000,True,Nipto,NIP,0x881171f591f03a816d7068c2cdd13b83213d6da6,0x0a5e84232ced38f12c65ac05e0de8a9b63bc21d6,1611981770
1606,mainnet,tokenAddress-0xafefcec024263d8588819f1f02f9fa75f36c9638,0xafefcec024263d8588819f1f02f9fa75f36c9638,100000000000000000000,True,Willy the Narwhal,WAL,0xe6705acce33201234161f0b68d3c9818acaa8db5,0xed93f3736dcdfbada2f89dad118ff7f36cd7a64c,1567883319
