,id,isForwarder,isUpgradeable,repoName,repoAddress,organizationId,network
33,0x0076acf6ec3fd4010c798f63d495aed90b9e7303,True,True,dandelion-voting,0xb64a898aa313e8e40b4ce16e964f0120e9fc5ee4,0x34f8cac060f95b1d0bc6c9cd506397ba7b4cc4d2,mainnet
34,0x007adb5effd35d3f8583fef255cb289a0039517f,False,True,acl,,0x9d4dfc099f9b53c4f9dfe8944680733fd739355f,mainnet
35,0x007b8669962fbda56d3f90a7dd3a565402171206,False,True,acl,,0xe09aad8b08b6be67bd669e788b297802abeed380,mainnet
36,0x00845c1b8e180cf0e00e717f235046617f2bab2d,False,True,vault,0xe73671913a7860c0fbdc3987871c1eff732916bf,0xf817f5bc02c9f17027f3d0558100bc642eaa845b,mainnet
37,0x00894b880bf2c3e863174d1ac93996be3d6874fe,True,True,token-manager,0x5a2c9d871f5ac6f06f2045ab06995a9556e86fbc,0x0c35a98f591b3b80213e8404af49d01ad46158f4,mainnet
38,0x00952466aa572bb2b1d5330c758944049974a4eb,False,True,vault,0xe73671913a7860c0fbdc3987871c1eff732916bf,0x1c532bc3b37d05e30aae367e4facdcfc98f8a426,mainnet
39,0x00971d987221f79a4108d5b738946dfce7d0a069,True,True,voting,0x12ccf2830f54b865f6d97aa0bc18897baec02185,0xa7a1d78ff8ca9099148beaea2ffd8d6bd368830a,mainnet
40,0x009e12bf4948bce98a85aa9c5ccb7aac2d9fbec5,False,True,vault,0xe73671913a7860c0fbdc3987871c1eff732916bf,0xa268fa85fee1146689fad186a246a179b10554ee,mainnet
41,0x00a140a2b9c164e40ce819e51e802c72ef360a22,False,True,finance,0x2dab32a4befc9cd6221796ece92e98137c13647a,0xbbf55b64bb795924997a9f363643a2de0dbe57bf,mainnet
42,0x00af377cf54f6a72a1d46315813bad7a38bee508,False,True,acl,,0xc3f254fb8e4a320b48626e871e0d4a50b6e54284,mainnet
43,0x00b1dcfc36670816f3d788b5dacf82f8d46a97a9,False,True,vault,0xe73671913a7860c0fbdc3987871c1eff732916bf,0xa2fb292bcac80b9a551510386a8ff6bfc5eaa01e,mainnet
44,0x00b424842685f69912cfd93af7293602c973bf56,False,True,kernel,,0x00b424842685f69912cfd93af7293602c973bf56,mainnet
45,0x00b513ec8bf49874341438a6c90017cb65052d19,False,True,acl,,0x6de186b09fe432bcc8aef3793ab3e9fd2d80db4c,mainnet
46,0x00b6f14c28e2f32fe9f34297575237c6727a1b1a,True,True,token-manager,0x5a2c9d871f5ac6f06f2045ab06995a9556e86fbc,0xdaa2ac369f7e6d09c5aab4197cebe288ec71444c,mainnet
47,0x00b7b43af68568f652795a97b9e1eba4ba646647,True,True,agent,0x52ac38791ef1561b172ca89d7115f178d058e57b,0xb8b4da6c682b2d5d8ed1e86f26a9522d65127a96,mainnet
48,0x00bc580e3a31a2be8deb64b9824767962d1e632a,True,True,token-manager,0x5a2c9d871f5ac6f06f2045ab06995a9556e86fbc,0x4438655aa0c398bce60f0e9f4a55b38099f4555d,mainnet
49,0x00bfc932dc81f9c1cce8d69d9aca7b6a89ff16a5,False,True,vault,0xe73671913a7860c0fbdc3987871c1eff732916bf,0xbdb0b60c73daf31d9b33b89975dde27383a0cb55,mainnet
50,0x00c19cca6f1af2496f95c0f299aeb6d99cb3ff1b,False,False,evm-script-registry,,0x2ab6c91acbabc7f856867f94fc2e2e0e395b8212,mainnet
51,0x00c1eb6dafdc8eb01ce9a29018b4b4a053c6123d,False,True,finance,0x2dab32a4befc9cd6221796ece92e98137c13647a,0xe0fc05149bec0c849ae2d722feb323199db0084c,mainnet
52,0x00c3b9aee404e133f0d2b2b4bd43e31f4474941c,False,True,vault,0xe73671913a7860c0fbdc3987871c1eff732916bf,0xb86c97718d39394d66106231bef3f1b376b1c524,mainnet
53,0x00c5dcfc2d9771e1a84e450ef2c718e071f04ec8,False,True,acl,,0x0199309590d0fb40377a15dac50b7ac28ab4ece3,mainnet
54,0x00cbd48e763b03338c22bc6d1a9b3cce313c8433,False,False,evm-script-registry,,0xc9de433a97d80ec592eaafb7f2f12b64d2f218ec,mainnet
